[2019-05-07 20:50:32,666 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="d9ce4078e1877956d097ab19c8c0a469")>]
[2019-05-07 20:50:49,352 loginit.py info line:41 INFO:] [定位密码输入框成功]
[2019-05-07 20:50:49,467 loginit.py info line:41 INFO:] [点击密码输入框成功]
[2019-05-07 20:50:49,517 loginit.py info line:41 INFO:] [清空密码输入框成功]
[2019-05-07 20:50:49,517 loginit.py info line:41 INFO:] [输入密码：完成]
[2019-05-07 20:50:50,591 loginit.py info line:41 INFO:] [发现元素：TANGRAM__PSP_10__submit]
[2019-05-07 20:50:50,619 loginit.py info line:41 INFO:] [定位登陆按钮成功]
[2019-05-07 20:50:50,739 loginit.py info line:41 INFO:] [点击登陆按钮成功]
[2019-05-07 20:50:50,740 loginit.py info line:41 INFO:] [结束时间: 2019-05-07 20:50:50]
[2019-05-07 20:50:50,740 loginit.py info line:41 INFO:] [百度登陆用例执行完成]
[2019-05-07 20:50:53,747 loginit.py info line:41 INFO:] [执行完成退出[tearDown]]
[2019-05-07 20:50:55,442 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="5e54840badccbb1cd41e227fcacc539f")>]
[2019-05-07 20:50:57,372 loginit.py info line:41 INFO:] [测试URL：http://www.baidu.com]
[2019-05-07 20:50:57,479 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 20:50:57,480 loginit.py info line:41 INFO:] [++++++处理贴吧登陆用例开始++++++]
[2019-05-07 20:50:57,481 loginit.py info line:41 INFO:] [初始化定位函数]
[2019-05-07 20:50:57,481 loginit.py info line:41 INFO:] [初始化find_element函数]
[2019-05-07 20:50:57,548 loginit.py info line:41 INFO:] [发现元素：kw]
[2019-05-07 20:50:59,995 loginit.py info line:41 INFO:] [发现元素：su]
[2019-05-07 20:51:01,237 loginit.py info line:41 INFO:] [发现元素：//*[@id='1']/h3/a[1]]
[2019-05-07 20:51:03,461 loginit.py info line:41 INFO:] [成功切换到新打开的标签句柄]
[2019-05-07 20:51:03,673 loginit.py info line:41 INFO:] [元素不存在：//*[@id='com_userbar']/ul/li[4]/div/a]
[2019-05-07 20:51:03,674 loginit.py info line:41 INFO:] [++++++执行完成，安全退出线程++++++]
[2019-05-07 20:51:05,458 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="ad2c8b4271f5baab9099797e200a9675")>]
[2019-05-07 20:51:09,693 loginit.py info line:41 INFO:] [测试URL：https://www.zhipin.com/]
[2019-05-07 20:51:09,804 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 20:51:12,842 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="227277267acc3ef95c444b2064c3f489")>]
[2019-05-07 20:51:19,658 loginit.py info line:41 INFO:] [测试URL：https://www.zhipin.com/]
[2019-05-07 20:51:19,786 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 21:01:43,422 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="ea12a88302483b32b55a81a686a692c9")>]
[2019-05-07 21:01:45,334 loginit.py info line:41 INFO:] [测试URL：http://www.baidu.com]
[2019-05-07 21:01:45,442 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 21:01:48,445 loginit.py info line:41 INFO:] [这是index的test1]
[2019-05-07 21:01:48,446 loginit.py info line:41 INFO:] [执行完成退出[tearDown]]
[2019-05-07 21:01:50,151 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="a856a3064a1b2d233c0174ed9ec620df")>]
[2019-05-07 21:01:52,157 loginit.py info line:41 INFO:] [测试URL：http://www.baidu.com]
[2019-05-07 21:01:52,265 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 21:01:55,280 loginit.py info line:41 INFO:] [执行test_baidu测试用例]
[2019-05-07 21:01:55,281 loginit.py info line:41 INFO:] [初始化定位函数]
[2019-05-07 21:01:55,281 loginit.py info line:41 INFO:] [初始化Element]
[2019-05-07 21:01:55,345 loginit.py info line:41 INFO:] [发现元素：div[id=u1] a[class=lb]]
[2019-05-07 21:01:55,366 loginit.py info line:41 INFO:] [首页登陆按钮定位成功]
[2019-05-07 21:01:55,484 loginit.py info line:41 INFO:] [首页登陆按钮点击成功]
[2019-05-07 21:01:57,560 loginit.py info line:41 INFO:] [发现元素：p.tang-pass-footerBarULogin]
[2019-05-07 21:01:57,580 loginit.py info line:41 INFO:] [定位用户名登陆按钮成功]
[2019-05-07 21:01:57,746 loginit.py info line:41 INFO:] [点击用户名登陆成功]
[2019-05-07 21:01:58,813 loginit.py info line:41 INFO:] [发现元素：TANGRAM__PSP_10__userName]
[2019-05-07 21:01:58,834 loginit.py info line:41 INFO:] [定位用户名输入框成功]
[2019-05-07 21:01:58,944 loginit.py info line:41 INFO:] [点击用户名输入框成功]
[2019-05-07 21:01:58,945 loginit.py info line:41 INFO:] [输入用户名:完成]
[2019-05-07 21:02:00,012 loginit.py info line:41 INFO:] [发现元素：TANGRAM__PSP_10__password]
[2019-05-07 21:02:00,032 loginit.py info line:41 INFO:] [定位密码输入框成功]
[2019-05-07 21:02:00,145 loginit.py info line:41 INFO:] [点击密码输入框成功]
[2019-05-07 21:02:00,187 loginit.py info line:41 INFO:] [清空密码输入框成功]
[2019-05-07 21:02:00,188 loginit.py info line:41 INFO:] [输入密码：完成]
[2019-05-07 21:02:01,251 loginit.py info line:41 INFO:] [发现元素：TANGRAM__PSP_10__submit]
[2019-05-07 21:02:01,271 loginit.py info line:41 INFO:] [定位登陆按钮成功]
[2019-05-07 21:02:01,390 loginit.py info line:41 INFO:] [点击登陆按钮成功]
[2019-05-07 21:02:01,390 loginit.py info line:41 INFO:] [结束时间: 2019-05-07 21:02:01]
[2019-05-07 21:02:01,391 loginit.py info line:41 INFO:] [百度登陆用例执行完成]
[2019-05-07 21:02:04,394 loginit.py info line:41 INFO:] [执行完成退出[tearDown]]
[2019-05-07 21:02:06,133 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="109dd06c961178846e724dda3771d317")>]
[2019-05-07 21:02:08,200 loginit.py info line:41 INFO:] [测试URL：http://www.baidu.com]
[2019-05-07 21:02:08,307 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 21:02:08,308 loginit.py info line:41 INFO:] [++++++处理贴吧登陆用例开始++++++]
[2019-05-07 21:02:08,309 loginit.py info line:41 INFO:] [初始化定位函数]
[2019-05-07 21:02:08,309 loginit.py info line:41 INFO:] [初始化find_element函数]
[2019-05-07 21:02:08,377 loginit.py info line:41 INFO:] [发现元素：kw]
[2019-05-07 21:02:10,821 loginit.py info line:41 INFO:] [发现元素：su]
[2019-05-07 21:02:12,077 loginit.py info line:41 INFO:] [发现元素：//*[@id='1']/h3/a[1]]
[2019-05-07 21:02:14,283 loginit.py info line:41 INFO:] [成功切换到新打开的标签句柄]
[2019-05-07 21:02:14,684 loginit.py info line:41 INFO:] [元素不存在：//*[@id='com_userbar']/ul/li[4]/div/a]
[2019-05-07 21:02:17,688 loginit.py info line:41 INFO:] [++++++执行完成，安全退出线程++++++]
[2019-05-07 21:02:19,414 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="d8152dc69b81e3083cafabf21be71787")>]
[2019-05-07 21:02:23,708 loginit.py info line:41 INFO:] [测试URL：https://www.zhipin.com/]
[2019-05-07 21:02:23,813 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 21:02:28,539 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="4b56b2dd966d72d3fb8e76e947b67485")>]
[2019-05-07 21:02:33,795 loginit.py info line:41 INFO:] [测试URL：https://www.zhipin.com/]
[2019-05-07 21:02:33,910 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 21:02:36,914 loginit.py info line:41 INFO:] [初始化定位函数]
[2019-05-07 21:02:38,369 loginit.py info line:41 INFO:] [发现元素：query]
[2019-05-07 21:02:40,436 loginit.py info line:41 INFO:] [发现元素：//*[@class='search-form ']/form/button]
[2019-05-07 21:02:43,194 loginit.py info line:41 INFO:] [发现元素：//*[@class='condition-box']/dl[1]/dd/a[4]]
[2019-05-07 21:02:48,178 loginit.py info line:41 INFO:] [发现元素：//*[@class='ipt']]
[2019-05-07 21:02:52,281 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[1]//ul[1]/li[5]/a]
[2019-05-07 21:02:55,555 loginit.py info line:41 INFO:] [发现元素：//*[@id='filter-box']/div/div[4]/div[2]/span/input]
[2019-05-07 21:02:59,607 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[2]/span[1]/div[1]/ul[1]/li[5]/a]
[2019-05-07 21:03:03,751 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[3]//input]
[2019-05-07 21:03:07,327 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[3]/span[1]/div[1]/ul/li[5]/a]
[2019-05-07 21:03:14,595 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[4]/span/input[1]]
[2019-05-07 21:03:17,080 loginit.py info line:41 INFO:] [发现元素：//*[@id='filter-box']/div/div[4]/div[4]/span/div/ul/li[1]/a]
[2019-05-07 21:03:20,587 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[5]/span[1]/input[1]]
[2019-05-07 21:03:25,921 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[5]/span[1]/div[1]/ul[1]/li[1]/a]
[2019-05-07 21:03:29,702 loginit.py info line:41 INFO:] [driver初始化参数错误]
[2019-05-07 21:03:29,703 loginit.py info line:41 INFO:] [初始化定位函数]
[2019-05-07 21:03:29,703 loginit.py info line:41 INFO:] [执行完成，退出--淘宝]
[2019-05-07 21:07:41,343 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="31eb5d372b59804209e4b84c623bd62c")>]
[2019-05-07 21:07:43,296 loginit.py info line:41 INFO:] [测试URL：http://www.baidu.com]
[2019-05-07 21:07:43,403 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 21:07:46,407 loginit.py info line:41 INFO:] [这是index的test1]
[2019-05-07 21:07:46,408 loginit.py info line:41 INFO:] [执行完成退出[tearDown]]
[2019-05-07 21:07:48,109 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="d99283c073e57360366273f7e62e010e")>]
[2019-05-07 21:07:50,124 loginit.py info line:41 INFO:] [测试URL：http://www.baidu.com]
[2019-05-07 21:07:50,231 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 21:07:53,236 loginit.py info line:41 INFO:] [执行test_baidu测试用例]
[2019-05-07 21:07:53,237 loginit.py info line:41 INFO:] [初始化定位函数]
[2019-05-07 21:07:53,237 loginit.py info line:41 INFO:] [初始化Element]
[2019-05-07 21:07:53,304 loginit.py info line:41 INFO:] [发现元素：div[id=u1] a[class=lb]]
[2019-05-07 21:07:53,326 loginit.py info line:41 INFO:] [首页登陆按钮定位成功]
[2019-05-07 21:07:53,452 loginit.py info line:41 INFO:] [首页登陆按钮点击成功]
[2019-05-07 21:07:55,522 loginit.py info line:41 INFO:] [发现元素：p.tang-pass-footerBarULogin]
[2019-05-07 21:07:55,543 loginit.py info line:41 INFO:] [定位用户名登陆按钮成功]
[2019-05-07 21:07:55,715 loginit.py info line:41 INFO:] [点击用户名登陆成功]
[2019-05-07 21:07:56,782 loginit.py info line:41 INFO:] [发现元素：TANGRAM__PSP_10__userName]
[2019-05-07 21:07:56,803 loginit.py info line:41 INFO:] [定位用户名输入框成功]
[2019-05-07 21:07:56,919 loginit.py info line:41 INFO:] [点击用户名输入框成功]
[2019-05-07 21:07:56,920 loginit.py info line:41 INFO:] [输入用户名:完成]
[2019-05-07 21:07:57,987 loginit.py info line:41 INFO:] [发现元素：TANGRAM__PSP_10__password]
[2019-05-07 21:07:58,008 loginit.py info line:41 INFO:] [定位密码输入框成功]
[2019-05-07 21:07:58,123 loginit.py info line:41 INFO:] [点击密码输入框成功]
[2019-05-07 21:07:58,164 loginit.py info line:41 INFO:] [清空密码输入框成功]
[2019-05-07 21:07:58,165 loginit.py info line:41 INFO:] [输入密码：完成]
[2019-05-07 21:07:59,236 loginit.py info line:41 INFO:] [发现元素：TANGRAM__PSP_10__submit]
[2019-05-07 21:07:59,261 loginit.py info line:41 INFO:] [定位登陆按钮成功]
[2019-05-07 21:07:59,382 loginit.py info line:41 INFO:] [点击登陆按钮成功]
[2019-05-07 21:07:59,383 loginit.py info line:41 INFO:] [结束时间: 2019-05-07 21:07:59]
[2019-05-07 21:07:59,383 loginit.py info line:41 INFO:] [百度登陆用例执行完成]
[2019-05-07 21:08:02,387 loginit.py info line:41 INFO:] [执行完成退出[tearDown]]
[2019-05-07 21:08:04,127 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="6ac44592703998eacbdf666bcda81b48")>]
[2019-05-07 21:08:06,105 loginit.py info line:41 INFO:] [测试URL：http://www.baidu.com]
[2019-05-07 21:08:06,216 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 21:08:06,217 loginit.py info line:41 INFO:] [++++++处理贴吧登陆用例开始++++++]
[2019-05-07 21:08:06,218 loginit.py info line:41 INFO:] [初始化定位函数]
[2019-05-07 21:08:06,219 loginit.py info line:41 INFO:] [初始化find_element函数]
[2019-05-07 21:08:06,287 loginit.py info line:41 INFO:] [发现元素：kw]
[2019-05-07 21:08:09,133 loginit.py info line:41 INFO:] [发现元素：su]
[2019-05-07 21:08:10,382 loginit.py info line:41 INFO:] [发现元素：//*[@id='1']/h3/a[1]]
[2019-05-07 21:08:12,605 loginit.py info line:41 INFO:] [成功切换到新打开的标签句柄]
[2019-05-07 21:08:12,718 loginit.py info line:41 INFO:] [发现元素：//*[@id='com_userbar']/ul/li[4]/div/a]
[2019-05-07 21:08:16,883 loginit.py info line:41 INFO:] [点击登陆按钮完成]
[2019-05-07 21:08:16,976 loginit.py info line:41 INFO:] [发现元素：TANGRAM__PSP_10__footerULoginBtn]
[2019-05-07 21:08:18,209 loginit.py info line:41 INFO:] [点击用户名登陆方式]
[2019-05-07 21:08:18,277 loginit.py info line:41 INFO:] [发现元素：TANGRAM__PSP_10__userName]
[2019-05-07 21:08:18,694 loginit.py info line:41 INFO:] [用户名输入框定位完成]
[2019-05-07 21:08:21,659 loginit.py info line:41 INFO:] [用户名输入完成]
[2019-05-07 21:08:21,674 loginit.py info line:41 INFO:] [输入的用户名为:candy霞姐]
[2019-05-07 21:08:21,739 loginit.py info line:41 INFO:] [发现元素：TANGRAM__PSP_10__password]
[2019-05-07 21:08:21,935 loginit.py info line:41 INFO:] [密码输入框定位完成]
[2019-05-07 21:08:25,352 loginit.py info line:41 INFO:] [密码输入完成]
[2019-05-07 21:08:25,371 loginit.py info line:41 INFO:] [输入的密码为:yixia1112]
[2019-05-07 21:08:25,437 loginit.py info line:41 INFO:] [发现元素：TANGRAM__PSP_10__submit]
[2019-05-07 21:08:28,616 loginit.py info line:41 INFO:] [点击登陆按钮，登陆完成]
[2019-05-07 21:08:28,662 loginit.py info line:41 INFO:] [元素不存在：//*[@class='onekey_btn']]
[2019-05-07 21:08:28,662 loginit.py info line:41 INFO:] [++++++执行完成，安全退出线程++++++]
[2019-05-07 21:08:30,430 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="3e4c99be9345cb1b54ca46b247d836ec")>]
[2019-05-07 21:08:34,158 loginit.py info line:41 INFO:] [测试URL：https://www.zhipin.com/]
[2019-05-07 21:08:34,273 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 21:08:38,999 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="0ef1aaef485482c17df6d416b10f271e")>]
[2019-05-07 21:08:48,488 loginit.py info line:41 INFO:] [测试URL：https://www.zhipin.com/]
[2019-05-07 21:08:48,595 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 21:08:51,599 loginit.py info line:41 INFO:] [初始化定位函数]
[2019-05-07 21:08:51,698 loginit.py info line:41 INFO:] [发现元素：query]
[2019-05-07 21:08:53,559 loginit.py info line:41 INFO:] [发现元素：//*[@class='search-form ']/form/button]
[2019-05-07 21:08:57,301 loginit.py info line:41 INFO:] [发现元素：//*[@class='condition-box']/dl[1]/dd/a[4]]
[2019-05-07 21:09:02,191 loginit.py info line:41 INFO:] [发现元素：//*[@class='ipt']]
[2019-05-07 21:09:06,266 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[1]//ul[1]/li[5]/a]
[2019-05-07 21:09:09,528 loginit.py info line:41 INFO:] [发现元素：//*[@id='filter-box']/div/div[4]/div[2]/span/input]
[2019-05-07 21:09:13,835 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[2]/span[1]/div[1]/ul[1]/li[5]/a]
[2019-05-07 21:09:16,899 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[3]//input]
[2019-05-07 21:09:20,198 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[3]/span[1]/div[1]/ul/li[5]/a]
[2019-05-07 21:09:27,236 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[4]/span/input[1]]
[2019-05-07 21:09:29,834 loginit.py info line:41 INFO:] [发现元素：//*[@id='filter-box']/div/div[4]/div[4]/span/div/ul/li[1]/a]
[2019-05-07 21:09:33,540 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[5]/span[1]/input[1]]
[2019-05-07 21:09:38,379 loginit.py info line:41 INFO:] [发现元素：//*[@class='filter-select-box']/div[5]/span[1]/div[1]/ul[1]/li[1]/a]
[2019-05-07 21:09:43,704 loginit.py info line:41 INFO:] [谷歌浏览器初始化完成:<selenium.webdriver.chrome.webdriver.WebDriver (session="53f32e7d3ad292aaa826c815e0856e3a")>]
[2019-05-07 21:09:46,913 loginit.py info line:41 INFO:] [测试URL：http://www.taobao.com]
[2019-05-07 21:09:47,020 loginit.py info line:41 INFO:] [设置窗口最大化]
[2019-05-07 21:09:47,022 loginit.py info line:41 INFO:] [初始化定位函数]
[2019-05-07 21:09:47,316 loginit.py info line:41 INFO:] [发现元素：//*[@id='J_SiteNavLogin']/div[1]/div[1]/a[1]]
[2019-05-07 21:09:49,962 loginit.py info line:41 INFO:] [点击首页导航登陆按钮]
[2019-05-07 21:09:52,597 loginit.py info line:41 INFO:] [发现元素：//*[@id='J_QRCodeLogin']/div[5]/a[1]]
[2019-05-07 21:09:52,783 loginit.py info line:41 INFO:] [点击使用账号密码登陆]
[2019-05-07 21:09:54,850 loginit.py info line:41 INFO:] [发现元素：//*[@id='TPL_username_1']]
[2019-05-07 21:09:54,871 loginit.py info line:41 INFO:] [定位用户名输入框]
[2019-05-07 21:09:57,800 loginit.py info line:41 INFO:] [输入的用户名为：12345678910]
[2019-05-07 21:09:58,868 loginit.py info line:41 INFO:] [发现元素：//*[@id='TPL_password_1']]
[2019-05-07 21:09:58,889 loginit.py info line:41 INFO:] [执行完成，退出--淘宝]
